Date,Time,Open,High,Low,Close,Volume
2016.07.01,00:00,1322.58,1375.05,1310.77,1351.11,3166486
2016.08.01,00:00,1350.61,1367.21,1304.16,1308.81,2591539
2016.09.01,00:00,1309.79,1352.51,1302.41,1315.89,2290565
2016.10.01,00:00,1317.19,1319.52,1241.30,1276.87,2131220
2016.11.01,00:00,1276.63,1337.16,1170.11,1172.62,3212423
2016.12.01,00:00,1173.73,1187.93,1122.62,1151.32,2214374
2017.01.01,00:00,1151.67,1219.40,1145.95,1210.36,2743673
2017.02.01,00:00,1210.48,1263.79,1198.10,1248.00,2321136
2017.03.01,00:00,1248.50,1260.97,1194.91,1248.96,1877001
2017.04.01,00:00,1247.94,1295.45,1243.65,1267.99,1535729
2017.05.01,00:00,1268.56,1274.08,1214.23,1268.70,1594868
2017.06.01,00:00,1268.67,1296.01,1236.01,1241.43,1503081
2017.07.01,00:00,1242.12,1271.04,1204.81,1269.37,1426449
2017.08.01,00:00,1269.47,1325.94,1251.44,1321.41,1791081
2017.09.01,00:00,1321.85,1357.42,1275.92,1279.37,1764162
2017.10.01,00:00,1278.95,1305.91,1260.54,1271.00,2710010
2017.11.01,00:00,1270.32,1299.08,1265.37,1274.70,3578014
2017.12.01,00:00,1275.02,1307.41,1236.37,1302.33,2762608
2018.01.01,00:00,1309.81,1365.92,1305.70,1344.94,3732780
2018.02.01,00:00,1343.39,1361.69,1307.04,1318.08,3816827
2018.03.01,00:00,1319.02,1356.84,1302.76,1325.04,3292903
2018.04.01,00:00,1325.80,1365.20,1310.18,1314.98,3197286
2018.05.01,00:00,1316.11,1325.90,1282.00,1298.24,3318497
2018.06.01,00:00,1298.89,1309.28,1245.84,1252.74,2229431
2018.07.01,00:00,1252.73,1265.84,1211.45,1223.94,2127288
2018.08.01,00:00,1224.13,1224.76,1160.07,1200.78,1732549
2018.09.01,00:00,1200.68,1212.60,1180.66,1191.51,1383329
2018.10.01,00:00,1191.89,1243.36,1183.16,1214.48,1418356
2018.11.01,00:00,1215.30,1237.33,1196.21,1221.96,1271883
2018.12.01,00:00,1222.91,1284.02,1221.25,1279.48,1119332
2019.01.01,00:00,1282.21,1326.25,1276.54,1321.05,883441
2019.02.01,00:00,1320.95,1346.66,1302.34,1313.08,726345
2019.03.01,00:00,1314.15,1324.49,1280.77,1292.16,787302
2019.04.01,00:00,1292.15,1310.53,1266.21,1283.29,666652
2019.05.01,00:00,1283.13,1306.92,1266.20,1305.13,875962
2019.06.01,00:00,1306.59,1439.21,1306.49,1409.91,1412928
2019.07.01,00:00,1391.67,1452.92,1381.66,1412.23,1461899
2019.08.01,00:00,1415.85,1555.21,1400.44,1520.55,2145213
2019.09.01,00:00,1529.39,1556.98,1464.43,1472.29,1695526
2019.10.01,00:00,1472.93,1519.48,1459.03,1512.13,1931435
2019.11.01,00:00,1512.49,1516.09,1445.57,1463.83,1475227
2019.12.01,00:00,1462.43,1525.23,1453.89,1520.46,1238302
2020.01.01,00:00,1520.26,1611.35,1518.38,1588.83,1852130
2020.02.01,00:00,1588.65,1689.25,1547.38,1584.70,2034241
2020.03.01,00:00,1581.79,1703.44,1451.13,1576.78,2872469
2020.04.01,00:00,1571.41,1747.40,1569.33,1685.98,2334978
2020.05.01,00:00,1686.02,1765.08,1670.40,1730.41,2327555
2020.06.01,00:00,1735.40,1785.94,1670.55,1780.54,1973959
2020.07.01,00:00,1781.61,1983.97,1757.43,1975.02,2029914
2020.08.01,00:00,1983.53,2074.87,1862.58,1968.22,3067529
2020.09.01,00:00,1968.35,1992.29,1848.75,1885.23,2676723
2020.10.01,00:00,1887.32,1933.18,1859.92,1878.37,2045237
2020.11.01,00:00,1879.27,1965.46,1764.38,1777.64,2182544
2020.12.01,00:00,1776.97,1906.70,1775.74,1893.43,1854876
2021.01.01,00:00,1909.07,1959.29,1810.29,1847.59,2484243
2021.02.01,00:00,1855.57,1871.78,1717.18,1733.84,3066643
2021.03.01,00:00,1737.79,1759.89,1676.82,1707.70,3419255
2021.04.01,00:00,1707.40,1797.88,1705.76,1768.97,2198452
2021.05.01,00:00,1766.81,1912.74,1766.04,1906.62,2470134
2021.06.01,00:00,1907.26,1916.58,1750.69,1769.65,2518746
2021.07.01,00:00,1770.03,1834.07,1765.64,1814.28,1874460
2021.08.01,00:00,1814.60,1831.65,1683.20,1814.26,1768243
2021.09.01,00:00,1814.47,1833.95,1721.65,1757.16,1693694
2021.10.01,00:00,1755.82,1813.79,1745.95,1782.98,1982772
2021.11.01,00:00,1783.36,1877.23,1758.07,1774.43,1999564
2021.12.01,00:00,1775.91,1828.08,1752.34,1827.95,1868318
2022.01.01,00:00,1830.63,1853.90,1780.30,1796.88,2198760
